src,dst,add_st,mul_st
31,20,1,1.3333333333333333
31,21,1,1.3333333333333333
31,22,1,1.3333333333333333
31,23,1,1.25
31,24,-2,0.6
31,25,-1,0.8
31,26,0,1.0
31,27,1,1.3333333333333333
31,28,1,1.3333333333333333
31,29,-1,0.8
31,30,0,1.0
31,32,1,1.3333333333333333
32,1,-1,0.6666666666666666
32,2,0,1.0
32,3,1,1.5
32,4,0,1.0
32,5,0,1.0
32,6,0,1.0
32,7,-1,0.6666666666666666
32,8,-1,0.75
32,9,-1,0.75
32,10,0,1.0
32,11,-1,0.75
32,12,1,1.3333333333333333
32,13,0,1.0
32,14,-1,0.75
32,15,1,1.3333333333333333
32,16,0,1.0
32,17,-1,0.75
32,18,0,1.0
32,19,0,1.0
32,20,0,1.0
32,21,-1,0.75
32,22,1,1.5
32,23,0,1.0
32,24,-2,0.6
32,25,-1,0.8
32,26,-1,0.75
32,27,0,1.0
32,28,-1,0.75
32,29,-2,0.6
32,30,-1,0.75
32,31,1,1.3333333333333333
